               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.036425,           0.0074565,             0.01317,             0.74131,             0.72014,             0.77847,             0.41176,            0.034453,           0.0074198,            0.020173,           0.0037143,           0.0037143,           0.0037143
                  57,            0.034627,           0.0073632,            0.012514,             0.75378,             0.74522,             0.76981,             0.42352,            0.035564,           0.0076109,            0.018104,              0.0036,              0.0036,              0.0036
                  58,            0.034923,           0.0073356,            0.011686,             0.74422,             0.77557,             0.80129,             0.45462,            0.034243,           0.0074246,            0.019538,           0.0034857,           0.0034857,           0.0034857
                  59,             0.03525,           0.0073426,            0.011299,             0.77624,             0.76469,             0.82548,             0.44871,            0.033326,           0.0072826,            0.017104,           0.0033714,           0.0033714,           0.0033714
                  60,             0.03455,           0.0072497,            0.011046,             0.80896,             0.80115,             0.86264,             0.50368,            0.033017,           0.0073441,            0.014637,           0.0032571,           0.0032571,           0.0032571
                  61,             0.03517,           0.0071211,            0.010304,             0.80682,             0.78875,             0.85979,             0.49432,            0.033738,           0.0071677,            0.015236,           0.0031429,           0.0031429,           0.0031429
                  62,            0.033762,            0.007061,            0.009787,             0.80248,             0.81036,             0.85028,             0.49007,            0.031073,           0.0072815,            0.014574,           0.0030286,           0.0030286,           0.0030286
                  63,            0.032403,           0.0069705,           0.0088829,             0.86921,             0.82095,             0.88889,             0.49405,            0.032052,           0.0070843,            0.012992,           0.0029143,           0.0029143,           0.0029143
                  64,            0.033713,           0.0070206,           0.0088115,             0.78727,             0.79204,             0.85343,             0.47598,            0.031676,             0.00714,            0.013793,              0.0028,              0.0028,              0.0028
                  65,            0.032625,           0.0069439,           0.0085531,             0.85546,             0.80993,             0.89133,              0.5278,            0.030477,           0.0070762,            0.013397,           0.0026857,           0.0026857,           0.0026857
                  66,            0.033238,           0.0069164,           0.0080567,             0.82073,             0.82943,             0.86769,             0.49583,            0.031741,           0.0067935,            0.012525,           0.0025714,           0.0025714,           0.0025714
                  67,             0.03121,           0.0067854,           0.0070114,             0.84483,             0.85414,              0.8958,             0.53285,            0.030134,           0.0068905,            0.011178,           0.0024571,           0.0024571,           0.0024571
                  68,            0.032322,            0.006699,           0.0069845,             0.83062,              0.8319,             0.87709,             0.48814,             0.03201,           0.0068041,            0.012097,           0.0023429,           0.0023429,           0.0023429
                  69,            0.031028,           0.0067703,           0.0067301,             0.83644,             0.84679,             0.89864,             0.53941,            0.030611,           0.0068219,            0.010316,           0.0022286,           0.0022286,           0.0022286
